회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
㈜유도,㈜유도 신입 및 경력사원 모집,회사내규에 따름,신입/경력,학력무관,,경기 화성시,2025-04-14,2025-04-08,D-3,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜서연이화,㈜서연이화 2025년 해외법인(미국) 현채인 모집 공고,회사내규에 따름,신입/경력,대졸(2~3년),,서울   등,2025-04-13,2025-04-08,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,해외법인/글로벌 운영지원
주식회사 커넥트쓰리알,(주)커넥트쓰리알  직원채용공고,"연봉 2,750 만원 ~ 3,000 만원",경력1년,학력무관,주5일,광주광역시 북구 첨단과기로,2025-05-07,2025-04-08,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜케이제이씨디스플레이코퍼레이션,(주) 케이제이씨 디스플레이 코퍼레이션 각 부문 신입 및 경력직 채...,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 영등포구  등,2025-04-30,2025-04-08,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 암펠,정규직 총괄 PM 채용,월급 750 만원 이상,경력9년,학력무관,주5일,경기도 고양시 일산동구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/work24.png,기획/PM
㈜마크로젠,㈜마크로젠 각 부문 신입/경력 직원채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 금천구  등,등록일 : 2025-04-08,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
트리노드㈜,[부산/경력 무관] ID팀 - 일본 PM,회사내규에 따름,경력무관,학력무관,주5일,부산 해운대구,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜소프트베이스,SW 솔루션 기술 영업,회사내규에 따름,경력5년,대졸(2~3년),주5일,서울 구로구  등,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,솔루션 영업/기술영업
㈜현대바이오랜드,현대바이오랜드 신입/경력직 수시채용 공고,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 강남구  등,2025-04-13,2025-04-08,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 암펠,[암펠] 정규직 초중고급 개발자 채용,월급 400 만원 이상,경력3년,학력무관,주5일,경기도 고양시 일산동구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 딥케어즈,"영상 처리 연구/개발자모집,",월급 210 만원 이상,경력1년,학력무관,주5일,서울특별시 강남구 선릉로107길,2025-06-07,2025-04-08,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 딥케어즈,인공지능 응용 소프트웨어 연구 및 개발자,월급 210 만원 이상,경력1년,학력무관,주5일,서울특별시 강남구 선릉로107길,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
국제인재개발원,IT 분야 웹개발자 과정 훈련 교강사 채용,"연봉 3,000 만원 ~ 5,000 만원",경력1년,학력무관,주5일,광주광역시 북구 호동로,2025-04-30,2025-04-08,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
안랩,Web 개발_연구개발,회사내규에 따름,경력,,,경기 성남시,2025-04-13,2025-04-08,D-2,https://www.work24.go.kr/wk/static/images/logo/openRecruit.png,웹 개발자
주식회사 웨이플러스,웹 개발 / 인공지능 분야 모집,월급 300 만원 ~ 350 만원,경력3년,대졸(4년),주5일,제주특별자치도 제주시 첨단로,2025-06-06,2025-04-08,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹 개발자
㈜인라이플,[주4.5일근무] Back-end Developer (JAVA) 채...,회사내규에 따름,경력5년,학력무관,기타,서울 구로구  등,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
아남전자㈜,아남전자(주) 개발품질부문 경력 채용,회사내규에 따름,경력10년,대졸(2~3년),주5일,서울 구로구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,QA/품질관리
㈜애드플로우,경력직 웹 개발자 채용,"연봉 3,600 만원 ~ 4,500 만원",경력3년,학력무관,주5일,부산 부산진구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜인라이플,[주4.5일근무] Front-end Developer (Vue.js...,회사내규에 따름,경력5년,학력무관,기타,서울 구로구  등,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영자
㈜프리텔레콤,[인스코비 그룹] 통신 청구/수납 프로그램 시스템 개발 및 유지보수,회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 성동구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,프로그램 운영/AA
㈜영원아웃도어,노스페이스 디지털 부분 수시 채용(경력),회사내규에 따름,경력1년,대졸(4년),주5일,경기 성남시 중원구 등,2025-04-27,2025-04-08,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,광고/마케팅 기술
콘센트릭스서비스코리아(유),[Catalyst] 대기업 디지털 광고/마케팅 Tag 개발,회사내규에 따름,경력3년,학력무관,주5일,서울 영등포구,2025-04-30,2025-04-08,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,광고/마케팅 기술
CJ 4DPLEX,[CJ그룹 계열사] CJ 4DPLEX 보안 정책기획/운영/관리 경력...,회사내규에 따름,경력3년,대졸(4년),,서울 마포구,2025-04-21,2025-04-08,D-10,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
우리에프아이에스㈜,보안솔루션 운영 경력 채용,회사내규에 따름,경력1년,학력무관,주5일,서울 마포구,2025-04-30,2025-04-08,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
㈜애니파이브,"2025년 SW 부문별 신입/경력사원 공개채용[PM/PL, AA, ...",회사내규에 따름,신입/경력,학력무관,주5일,서울 구로구,2025-05-08,2025-04-08,D-27,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
㈜제이시스메디칼,[제이시스메디칼] 각 부문별 신입/경력 채용,회사내규에 따름,신입/경력,학력무관,,서울 금천구,등록일 : 2025-04-08,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)브이웨이,[일자리매칭플랫폼] C# 윈도우 어플리케이션 개발자 모집(경력),회사내규에 따름,경력5년,학력무관,,서울,2025-06-07,2025-04-08,D-57,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
주식회사신성테크,소프트웨어 개발자 채용,"연봉 3,500 만원 이상",경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,광주광역시 광산구 진곡산단중앙로,2025-04-30,2025-04-07,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 단비아이엔씨(danbee Inc.),[채용-상시] 인공지능 챗봇플랫폼 단비Ai에서 백엔드 개발자를 모집...,"연봉 3,500 만원 이상",경력3년,학력무관,주5일,서울특별시 서초구 서초대로50길,2025-06-03,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사나은정보,"네트워크 엔지니어 모집합니다 (신입,초급 엔지니어)","연봉 2,600 만원 이상",신입,학력무관,주5일,경기도 광명시 하안로,2025-06-02,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,엔지니어
주식회사 단비아이엔씨(danbee Inc.),[채용-상시] 인공지능 챗봇플랫폼 단비Ai에서 프론트엔드 개발자를 ...,"연봉 3,300 만원 이상",경력3년,학력무관,주5일,서울특별시 서초구 서초대로50길,2025-06-03,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
(주)우주주차,[제주] SW개발자,월급 300 만원 ~ 500 만원,경력2년,"대졸(4년)
														 ~ 박사",주5일,제주특별자치도 제주시 첨단로,2025-04-30,2025-04-07,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타 개발자
주식회사 미래에이아이,미디어콘텐츠 개발자 모집,월급 210 만원 이상,경력무관,"대졸(2~3년)
														 ~ 박사",주5일,제주특별자치도 제주시 첨단로,2025-06-06,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
에스디소프트,웹 개발(경력) 직원 채용,월급 300 만원 이상,경력1년,학력무관,주5일,서울특별시 중구 퇴계로36길,2025-06-06,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹 개발자
서우에이치알,건설 전문 IT 기업 서우HR 골조 시공 전문가/도면 제작/서비스 ...,월급 320 만원 ~ 700 만원,경력,대졸(4년),주6일,서울 송파구,2025-04-25,2025-04-07,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,연구원/기술원
AACT,[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,회사내규에 따름,신입/경력,학력무관,기타,인천 중구  등,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,프로그램 운영/AA
유한회사 한국기계설비기술,프로그래머 c#,"연봉 3,000 만원 ~ 5,000 만원",신입,학력무관,주5일,광주광역시 북구 문화소통로,2025-04-25,2025-04-07,D-14,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜엠플라인,[성수/ISMS/보안]MVNO기업 정보보호 담당자 대규모 채용,"연봉 2,700 만원 ~ 4,000 만원",경력,대졸(2~3년),주5일,서울 성동구  등,2025-06-06,2025-04-07,D-56,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
㈜사회평론,프론트엔드 개발자/웹 디자이너 채용,회사내규에 따름,경력무관,학력무관,주5일,서울 마포구  등,2025-04-20,2025-04-07,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
갤럭시아머니트리㈜,[효성 계열사] PG 사업 업무지원 담당자 모집,회사내규에 따름,경력무관,고졸,,서울 강남구,2025-04-18,2025-04-07,D-7,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
김영일교육컨설팅㈜,"PHP , CI ( 프론트엔드 , 백엔드 ) 경력 정규직채용",회사내규에 따름,경력5년,대졸(4년),주5일,서울 강남구,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
아모레퍼시픽,[신입] '25년 상반기 전임직 채용_제어시스템 개발,회사내규에 따름,신입,"대졸예정(2~3년)
														 ~ 대졸(2~3년)",,경기 오산시,2025-04-21,2025-04-07,D-10,https://www.work24.go.kr/wk/static/images/logo/openRecruit.png,기타
㈜더바디채널,"[백엔드/서버 개발자] 점심 식대 제공, 금요일 4시 퇴근",회사내규에 따름,경력5년,대졸(2~3년),주5일,서울 강서구  등,2025-04-18,2025-04-07,D-7,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
한맥콘트롤즈(주),한맥콘트롤즈(주) 각 부문 신입 및 경력직 채용,"연봉 3,000 만원 ~ 8,000 만원",경력무관,"대졸(2~3년)
														 ~ 박사",주5일,서울특별시 강서구 마곡중앙4로,2025-04-22,2025-04-07,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜먹깨비,공공배달앱(주)먹깨비 개발직군(PHP/Node.js) 경력직 수시 ...,"연봉 4,000 만원 ~ 4,000 만원",경력3년,고졸,주5일,경기 성남시 분당구 등,2025-05-07,2025-04-07,D-26,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜케이아이엔엑스,2025 KINX 인턴 및 경력채용,회사내규에 따름,신입/경력,학력무관,,경기 과천시  등,2025-04-20,2025-04-07,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
에이테크솔루션,2025 상반기 공개채용,회사내규에 따름,신입/경력,학력무관,,경기 화성시  등,등록일 : 2025-04-07,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사 엔플러그,[일자리매칭플랫폼] [SW팀] 서버 개발자 인재채용 (경력&신입),회사내규에 따름,신입/경력,학력무관,,경기 성남시 수정구 등,2025-06-06,2025-04-07,D-56,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
콘센트릭스서비스코리아(유),[Catalyst]Global App Tagging 개발 및 운영,회사내규에 따름,경력5년,학력무관,주5일,서울 강남구,2025-04-30,2025-04-07,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
